TenDiaDanh,DiaChi,NoiDung,ImageURL
Hồ Khe Chè,"Thôn Ba Xã, xã An Sinh, Xã An Sinh, Thị xã Đông Triều, Quảng Ninh",,N/A
Làng quê Yên Đức,"Thôn Yên Khánh, xã Yên Đức, Xã Yên Đức, Thị xã Đông Triều, Quảng Ninh",,N/A
Cụm di tích lịch sử cách mạng khu mỏ than Mạo Khê,"Khu Vĩnh Lập, phường Mạo Khê,, Phường Mạo Khê, Thị xã Đông Triều, Quảng Ninh",,N/A
Trung tâm chiến khu Đông Triều - chùa Bắc Mã,"Thôn Bắc Mã, xã Bình Dương, Xã Bình Dương, Thị xã Đông Triều, Quảng Ninh",,N/A
Chùa Hồ Thiên,"Thôn Phú Ninh, xã Bình Khê, thị xã Đông Triều, Xã Bình Khê, Thị xã Đông Triều, Quảng Ninh",,N/A
Chùa Quỳnh Lâm,"phường Tràng An, Phường Tràng An, Thị xã Đông Triều, Quảng Ninh",,N/A
Đền Thái,"Thôn Trại Lốc, xã An Sinh, Xã An Sinh, Thị xã Đông Triều, Quảng Ninh",,N/A
Đền An Sinh,"Thôn Nghĩa Hưng, xã An Sinh, thị xã Đông Triều, Xã An Sinh, Thị xã Đông Triều, Quảng Ninh",,N/A
Chợ Rừng,"Phường Quảng Yên, Phường Quảng Yên, Thị xã Quảng Yên, Quảng Ninh",,N/A
Làng nghề truyền thống Hưng Học,"phường Nam Hòa, Phường Nam Hoà, Thị xã Quảng Yên, Quảng Ninh",,N/A
Thác Mơ,"Khu Lâm Sinh 2,Phường Minh Thành, Phường Minh Thành, Thị xã Quảng Yên, Quảng Ninh",,N/A
Chùa Yên Mỹ,"xã Lê Lợi, thành phố Hạ Long, Xã Lê Lợi, Thành phố Hạ Long, Quảng Ninh",,N/A
Đền thờ Tiến sỹ Vũ Phi Hổ,"xã Lê Lợi, thành phố Hạ Long, Xã Lê Lợi, Thành phố Hạ Long, Quảng Ninh",,N/A
Đền thờ Vua Lê Thái Tổ,"xã Lê Lợi, thành phố Hạ Long, Xã Lê Lợi, Thành phố Hạ Long, Quảng Ninh",,N/A
Miếu Tiên Công,"Thôn Cẩm Thành, xã Cẩm La xã Cẩm La, Xã Cẩm La, Thị xã Quảng Yên, Quảng Ninh",,N/A
Chùa Yên Giang,"Khu 2, phường Yên Giang, Phường Yên Giang, Thị xã Quảng Yên, Quảng Ninh",,N/A
"Đình, chùa Yên Đông","Khu 3, phường Yên Hải, thị xã Quảng Yên, Phường Yên Hải, Thị xã Quảng Yên, Quảng Ninh",,N/A
Nhà thờ họ Lê,"Khu 5, phường Phong Cốc, thị xã Quảng Yên, Phường Phong Cốc, Thị xã Quảng Yên, Quảng Ninh",,N/A
Đình Phong Cốc,"Khu 4, phường Phong Cốc, thị xã Quảng Yên, Phường Phong Cốc, Thị xã Quảng Yên, Quảng Ninh",,N/A
Hai cây Lim Giếng Rừng,"Khu 5, phường Quảng Yên, thị xã Quảng Yên, Phường Quảng Yên, Thị xã Quảng Yên, Quảng Ninh",,N/A
Bảo tàng Bạch Đằng,"Khu 5, phường Quảng Yên, thị xã Quảng Yên, Phường Quảng Yên, Thị xã Quảng Yên, Quảng Ninh",,N/A
Khu trung tâm di tích lịch sử Bạch Đằng,"Khu 6, phường Yên Giang, Phường Yên Giang, Thị xã Quảng Yên, Quảng Ninh",,N/A
Quần thể danh lam thắng cảnh Núi Mằn,"xã Thống Nhất, thành phố Hạ Long, Xã Thống Nhất, Thành phố Hạ Long, Quảng Ninh","Núi Mằn có tên trong thư tịch cổ là “Bân Sơn"" nghĩa là hài hòa, trong ngoài hoàn thiện. Vì vậy, Bân Sơn có nghĩa là ngọn núi đẹp, hoàn thiện từ trong ra ngoài, núi có dòng sông Mân chảy qua nên người dân địa phương thường gọi núi Bân là núi Mân (từ “Mằn” là đọc chệch của từ “Mân”).",N/A
Khu bảo tồn bản văn hóa người Dao Thanh Y Bằng Cả,"Thôn 2 (thôn Chín Gian), xã Bằng Cả, Xã Bằng Cả, Thành phố Hạ Long, Quảng Ninh","Khu bảo tồn bản văn hóa người Dao Thanh Y Bằng Cả là Dự án bảo tồn bản văn hóa người Dao Thanh Y duy nhất của tỉnh Quảng Ninh do Sở Văn hóa, Thể thao và Du lịch làm chủ đầu tư.",N/A
Thiên đường hoa Quảng La,"xã Quảng La, thành phố Hạ Long, Xã Quảng La, Thành phố Hạ Long, Quảng Ninh",,N/A
"Đại Yên Plaza, Vụng Cặp Táo","vịnh Hạ Long, thành phố Hạ Long, Thành phố Hạ Long, Quảng Ninh",,N/A
Cung Quy hoạch và Hội chợ triển lãm tỉnh Quảng Ninh,"phường Hồng Hải, thành phố Hạ Long, Phường Hồng Hải, Thành phố Hạ Long, Quảng Ninh",,N/A
Vụng Tùng Sâu,"vịnh Hạ Long, thành phố Hạ Long, Thành phố Hạ Long, Quảng Ninh",,N/A
Cụm di tích Chùa Lôi Âm và Hồ Yên Lập,"Phường Đại Yên, tp Hạ Long, Phường Đại Yên, Thành phố Hạ Long, Quảng Ninh",,N/A
Đền Cái Lân,"Phường Bãi Cháy, thành phố Hạ Long, Phường Bãi Cháy, Thành phố Hạ Long, Quảng Ninh",,N/A
Trung tâm Mỹ Ngọc - Công ty CP Ngọc trai Hạ Long,"Phường Hà Khẩu, thành phố Hạ Long, Phường Hà Khẩu, Thành phố Hạ Long, Quảng Ninh",,N/A
Trung tâm thương mại Marine Plaza,"Phường Hùng Thắng, thành phố Hạ Long, Phường Hùng Thắng, Thành phố Hạ Long, Quảng Ninh",Du lịch thể thao: Đường giao thông,N/A
Trung tâm Thương mại Vincom Hạ Long center,"Phường Bạch Đằng, thành phố Hạ Long, Phường Bạch Đằng, Thành phố Hạ Long, Quảng Ninh",,N/A
Chợ Hạ Long 1,"Phường Hồng Gai, thành phố Hạ Long, Phường Hồng Gai, Thành phố Hạ Long, Quảng Ninh",: Đường giao thông,N/A
Bảo tàng - Thư viện tỉnh - Quảng trường 30/10,"phường Hồng Hải, thành phố Hạ Long, Phường Hồng Hải, Thành phố Hạ Long, Quảng Ninh",Bảo tàng - Thư viện Quảng Ninh là một trong những công trình trọng điểm chào mừng kỷ niệm 50 năm thành lập tỉnh (30/10/1963 - 30/10/2013).,N/A
Công viên Hạ Long,"Phường Bạch Đằng, thành phố Hạ Long, Phường Bạch Đằng, Thành phố Hạ Long, Quảng Ninh",,N/A
Nhà thờ Hòn Gai,"phường Bạch Đằng, thành phố Hạ Long, Phường Bạch Đằng, Thành phố Hạ Long, Quảng Ninh",,N/A
Chùa Long Tiên,"Phường Bạch Đằng, thành phố Hạ Long, Phường Bạch Đằng, Thành phố Hạ Long, Quảng Ninh",,N/A
Trung tâm Văn hóa Núi Bài Thơ và Đền thờ Đức ông Trần Quốc Nghiễn,"Phường Hồng Gai, thành phố Hạ Long, Phường Hồng Gai, Thành phố Hạ Long, Quảng Ninh",,N/A
Chùa Ba Vàng,"tổ 17, khu 5, phường Quang Trung, thành phố Uông Bí, Phường Quang Trung, Thành phố Uông Bí, Quảng Ninh","Chùa tọa lạc trên núi Thành Đẳng thuộc cánh cung Đông Triều, ở địa bàn phường Quang Trung, thành phố Uông Bí, tỉnh Quảng Ninh. Chùa có tên chữ Hán là Bảo Quang Tự, “Tự ” có nghĩa là chùa, “Bảo Quang” mang nghĩa là ánh sáng quý báu. Bảo Quang Tự nghĩa là ngôi chùa có ánh sáng quý báu. Chùa còn có tên gọi Ba Vàng, mang ý nghĩa chỉ ba ngôi quý báu của Phật “Phật Bảo, Pháp Bảo, Tăng Bảo”, đây là tên gọi dễ hiểu, dễ nhớ gần gũi với người dân địa dân địa phương thể hiện lòng tôn kính của họ với ba ngôi báu Phật - Pháp –Tăng",N/A
Thác Lựng Xanh,"Phường Quang Trung, Phường Quang Trung, Thành phố Uông Bí, Quảng Ninh","Lựng Xanh cách thành phố Uông Bí hơn 2km, nằm trên địa bàn phường Quang Trung thành phố Uông Bí, giữa một vùng đất thiêng, nối với núi Yên Tử, hồ Trung Yên và chung một mạch nước với chùa Ba Vàng.",N/A
Chùa Phổ Am,"Phường Bắc Sơn, Phường Bắc Sơn, Thành phố Uông Bí, Quảng Ninh","Chùa Phổ Am tọa lạc tại chân núi Duật Vân thuộc phường Bắc Sơn, cách trung tâm thành phố Uông Bí 4km. Chùa còn có tên gọi là Chùa Am (tên chữ là Am Vân Tự). Theo triết tự Hán - Việt, Phổ có nghĩa là rộng lớn, còn Am là sự hiểu biết. Tên ngôi chùa Phổ Am có thể suy ra là sự hiểu biết rộng",N/A
Đình Đền Công - chùa Long Khánh - miếu Cổ Linh,"khu Đền Công 2, phường Trưng Vương, thành phố Uông Bí, Phường Trưng Vương, Thành phố Uông Bí, Quảng Ninh","Đình Đền Công tên chữ Hán là “Đền Công Đình”, tên của Đình xuất phát từ tên của làng Đền Công sau biến âm thành làng Điền Công nay là khu Đền Công 2 phường Trưng Vương, thành phố Uông Bí, tỉnh Quảng Ninh. Cách đình Đền Công khoảng hơn 1km về hướng Tây Nam là Miếu Cu Linh (miếu Cây Giêng). Đình Đền Công là di tích quốc gia đặc biệt nằm trong cụm di tích lịch sử Bạch Đằng Đình thuộc phường Trưng Vương thành phố Uông Bí, tỉnh Quảng Ninh.",N/A
Di tích danh thắng Yên Tử,"Xã Thượng Yên Công và phường Phương Đông, Xã Thượng Yên Công, Thành phố Uông Bí, Quảng Ninh","Khu Di tích lịch sử và Danh thắng Yên Tử trải dài gần 20 km thuộc địa bàn phường Phương Đông và xã Thượng Yên Công, thành phố Uông Bí, tỉnh Quảng Ninh, được Nhà nước xếp hạng là di tích cấp quốc gia năm 1974, được công nhận là Di tích quốc gia đặc biệt năm 2012.",N/A
Văn Miếu - Quốc Tử Giám,"58 Quốc Tử Giám, Phường Quốc Tử Giám, Quận Đống Đa, Thành phố Hà Nội","Văn Miếu được xây dựng từ năm 1070 (tức năm Thần Vũ thứ hai đời Vua Lý Thánh Tông) để thờ các bậc Tiên thánh, Tiên sư của đạo Nho, đồng thời mang chức năng của một trường học Hoàng gia mà học trò đầu tiên là Thái tử Lý Càn Đức, con trai Vua Lý Thánh Tông. Năm 1076, Vua Lý Nhân Tông cho lập Quốc Tử Giám ở bên cạnh Văn Miếu với vai trò là trường học dành riêng cho con vua và con các bậc đại quyền quý trong triều đình. Năm 1253, Vua Trần Thái Tông đổi Quốc Tử Giám thành Quốc học viện, mở rộng và thu nhận cả con cái các nhà thường dân có học lực xuất sắc. Đến đời Vua Trần Minh Tông (1314 – 1329), nhà giáo Chu Văn An được cử làm quan Quốc Tử Giám Tư nghiệp (hiệu trưởng) và thầy dạy trực tiếp cho các hoàng tử. Năm 1370, sau khi ông mất, Vua Trần Nghệ Tông đã cho thờ ở Văn Miếu bên cạnh Khổng Tử. Năm 1785, Vua Lê Hiển Tông đổi Quốc Tử Giám thành nhà Thái học. Đến đầu thời Nguyễn, Quốc Tử Giám được lập tại Huế, nhà Thái học đổi thành nhà Khải Thánh.",N/A
Vườn Dâu Tằm Mỹ Khánh ở An Giang,"Võ Văn Hoài, Ấp Bình Hòa 2, Xã Mỹ Khánh, Thành phố Long Xuyên, An Giang","Vườn dâu này cũng tốn công đi đấy. Từ hướng Long Xuyên, qua cầu Tôn Đức Thắng (song song với Cầu Quay đấy), thì sẽ có bảng hướng dẫn rẻ trái để đi vào Mỹ Khánh. Chạy tầm thêm gần 30p thì đến nơi",N/A
Du lịch sinh thái Rừng tràm Tân Tuyến,"Tân Tuyến, Xã Tân Tuyến, Huyện Tri Tôn, An Giang","An Giang là vùng đất gây ấn tượng mạnh mẽ với nhiều du khách không chỉ vì là nơi có sự pha trộn và hội tụ của nhiều nền văn hóa đặc sắc của cộng đồng người Kinh, Hoa, Chăm, Khmer với nhau, sở hữu vẻ đẹp bình dị đặc trưng của sông nước miền Tây sông nước mà còn có cảnh sắc thiên nhiên đa dạng. Từ cánh đồng lúa xanh ngắt trải dài, núi Cô Tô mộng mơ, hàng thốt nốt xứ Tịnh Biên vút lên tận trời cao hay dãy Thất Sơn huyền bí cùng nhiều di tích lịch sử, văn hóa hấp dẫn khác.",N/A
Vườn trái cây Gò Chùa,"22B, Gò Dầu, Thị trấn Gò Dầu, Huyện Gò Dầu, Tây Ninh",,N/A
Tháp cổ Bình Thạnh,"ĐT786, Phường Trảng Bàng, Huyện Trảng Bàng, Tây Ninh",,N/A
Công viên nước Thanh Lễ,"Đại lộ Bình Dương, Phường Hiệp Thành, Thành phố Thủ Dầu Một, Bình Dương","Công viên có hồ thiếu nhi dành riêng cho trẻ em. Trẻ em đến đây có thể chơi các trò chơi với tàu chaỵ bằng hơi nước, các máng trượt nhỏ, các hình tượng nấm, rùa, cá sấu phun nước…phù hợp với lứa tuổi thiếu nhi.",N/A
Khu du lịch làng cổ Phước Lộc Thọ,"67A Tỉnh lộ 824, ấp 2, Xã Hựu Thạnh, Huyện Đức Hòa, Long An","Làng cổ Phước Lộc Thọ tọa lạc tại xã Hựu Thạnh, huyện Đức Hòa, tỉnh Long An là điểm tham quan độc đáo của Du lịch Long An. Toàn bộ làng cổ rộng khoảng 10 hecta, được khởi công xây dựng từ năm 2006.. Một số hoạt động chính tại làng: Tham quan quần thể nhà cổ; tham quan vườn lan, cây cổ thụ, hòn non bộ; tham quan vườn thú…",N/A
Quán Café Gió & Nước Bình Dương,"6/28T Trần Bình Trọng, Phường Phú Thọ, Thành phố Thủ Dầu Một, Bình Dương","Được thiết kế bởi kiến trúc sư nổi tiếng Võ Trọng Nghĩa, ý tưởng chủ đạo của quán là lấy nước và thông gió tự nhiên để làm mát công trình, đem lại cảm giác thoáng đãng và rất gần gũi với thiên nhiên.",N/A
Cụm du lịch hồ Dầu Tiếng,"Xã Định Thành, Huyện Dầu Tiếng, Xã Định Thành, Huyện Dầu Tiếng, Bình Dương","Hồ Dầu Tiếng nằm giáp ranh giữa 3 tỉnh Bình Dương – Bình Phước và Tây Ninh. Cho nên đóng vai trò rất quan trọng trong việc phát triển kinh tế khu vực này, nhất là vấn đề thủy lợi. Điểm qua một số thành tích của hồ này thì đây là hồ nước nhân tạo lớn nhất cả nước. Với tổng diện tích lên đến 27km2, chứa được trung bình 1,58 tỷ mét khối nước. Bên cạnh việc chính là cung cấp nước cho sông Sài Gòn và các vùng lân cận. Nhiều năm trở lại đây, hồ cũng được khai thác về dịch vụ du lịch, trở thành điểm đến đón hàng ngàn lượt khách mỗi năm.",N/A
Khu Du Lịch Thủy Châu,"55 DT743C Phường Bình Thắng, TP. Dĩ An,, Phường Bình Thắng, Thị xã Dĩ An, Bình Dương","Khu du lịch Thủy Châu là địa điểm du vi vu mới nổi gần Sài Gòn, được nhiều bạn trẻ và gia đình lựa chọn là nơi tụ tập cuối tuần. Khu du lịch sinh thái Thủy Châu cách Sài Gòn khoảng 25km, thuộc xã Bình Thắng, thị xã Dĩ An, tỉnh Bình Dương.",N/A
Làng Tre Phú An,"124 ĐT744, Phú An, Xã Phú An, Thị xã Bến Cát, Bình Dương","Từ một dự án bảo tồn sinh thái tre, Làng tre Phú An (xã Phú An, TX.Bến Cát) hiện trở thành một địa điểm “du lịch xanh”, hàng năm đón khoảng 10.000 du khách trong và ngoài nước đến tham quan. Hiện ngành du lịch tỉnh và địa phương đang xúc tiến để đưa nơi đây trở thành địa điểm thu hút du khách trong và ngoài nước.",N/A
Hàng cau vua Tân Trụ,"Đường Ông Đồ Nghị, Thị trấn Tân Trụ, Huyện Tân Trụ, Long An","Cách TP.HCM khoảng 40km về phía Nam có một con đường được ví von là ""hạnh phúc"". Nhiều năm qua, hàng cau vua ở Tân Trụ (Long An) được xem là nơi check-in lý tưởng của nhiều du khách dịp cuối tuần",N/A
Khu du lịch Cánh Đồng Bất Tận,"Ấp 3, Thị trấn Bình Phong Thạnh, Huyện Mộc Hóa, Long An","Khu du lịch này chính là khu bảo tồn đa dạng sinh vật học, nuôi dưỡng nhiều loài cây có gen quý cùng nhiều dược liệu hiếm gặp. Đây cũng từng bối cảnh trong bộ phim nổi tiếng ” Cánh Đồng Bất Tận”. Sau sự thành công vang dội của bộ phim, nơi đây đã trở thành một địa điểm du lịch nổi tiếng của tỉnh Long An.",N/A
Làng nổi Tân Lập,"Quốc lộ 62, Xã Tân Lập, Huyện Mộc Hóa, Long An","Làng nổi Tân Lập nằm sâu bên trong lòng Đồng Tháp Mười, nơi chủ yếu là vùng rừng ngập nước với hệ sinh thái mang đậm vẻ đặc trưng của Đông Nam Bộ. Tràm, sen, súng, lục bình cùng với hệ động vật cò, cá phong phú đã tạo nên cho nơi này một mảng màu sắc riêng. Vùng đất Long An thật biết chiều lòng người nhờ những khung cảnh đơn sơ, giản dị như vậy.",N/A
Khu Lưu Niệm Nhạc Sĩ Cao Văn Lầu,"Đường Ninh Bình, phường 2, thành phố Bạc Liêu, Phường 2, Thành phố Bạc Liêu, Bạc Liêu","Năm 2008, nơi đây được trùng tu và mở rộng trên diện tích khoảng 2.800m2 với các công trình: cổng tam quan, nhà bao che khu mộ nhạc sĩ Cao Văn Lầu, tượng bán thân nhạc sĩ Cao Văn Lầu, nhà trưng bày tài liệu, hiện vật, hình ảnh của các nhạc sĩ. Sân khấu ngoài trời và nhà đón khách…",N/A
Vườn chim Bạc Liêu,"Đường Cao Văn Lầu, , Phường Nhà Mát, Thành phố Bạc Liêu, Bạc Liêu","Nếu  bạn đang ấp ủ cho mình chuyến du lịch tới miền Tây sông nước, chắc chắn bạn không thể bỏ qua khu bảo tồn thiên nhiên vườn chim Bạc Liêu. Bạn sẽ được hòa mình vào không khí dịu mát, đậm nét thiên nhiên hoang dã nơi đây.",N/A
Khu du lịch Nhà Mát,N/A,"Khu du lịch Nhà Mát là điểm du lịch nổi tiếng nhất của Bạc Liêu. Với bãi biển nhân tạo lớn, nhiều trò chơi thú vị như tàu lượn trên không, đi xe điện đụng,.. hay rạp phim 6D, phòng massgae,.. đây hứa hẹn sẽ là điểm đến xua tan nắng nóng ngột ngạt cho du khách mùa hè này.",N/A
Tháp Chóp Mạt,"ấp Xóm Mới, Xã Tân Phong, Huyện Tân Biên, Tây Ninh",,N/A
Tham quan căn cứ trung ương cục miền Nam,"P2RQ+H55, Xã Tân Lập, Huyện Tân Biên, Tây Ninh","Di tích lịch sử Căn cứ Trung ương Cục miền Nam ở về phía Bắc tỉnh Tây Ninh, sát biên giới Việt Nam - Campuchia, cách thị xã Tây Ninh khoảng 60km.",N/A
Khu vui chơi giải trí Sala,"145 Chánh Môn A, Phường 4, Thành phố Tây Ninh, Tây Ninh",,N/A
Khu du lịch Ma Thiên Lãnh,N/A,"Nằm trên địa phận xã Thạnh Tân, thị xã Tây Ninh, Ma Thiên Lãnh được hình thành bởi 3 ngọn núi là: Núi Bà Đen, Núi Heo và núi Phụng.",N/A
Khu du lịch Long Điền Sơn,"Đường số 08 Trần Phú, Phường Ninh Sơn, Thành phố Tây Ninh, Tây Ninh",,N/A
Di tích lịch sử văn hóa chiến thắng Tua Hai,"ấp Tua Hai, Xã Đồng Khởi, Huyện Châu Thành, Tây Ninh","Tọa lạc tại ấp Tua Hai, xã Đồng Khởi, huyện Châu Thành, tỉnh Tây Ninh, nằm trên đường trục lộ 22B, cách thành phố Tây Ninh 7km về phía Tây Bắc.",N/A
Cồn Phú Đa,"xã Vĩnh Bình, huyện Chợ Lách, Huyện Chợ Lách, Bến Tre","Cồn Phú Đa nằm cách TP.HCM khoảng 100km nên cồn là một địa điểm du lịch hoàn hảo để du khách thành phố lựa chọn phượt vào cuối tuần. Nếu đi bằng xe máy thì du khách nên lựa chọn di chuyển theo lộ trình sau:

	Xuất phát từ TP.HCM, du khách di chuyển theo hướng QL1A để về miền Tây. Khi qua cầu Mỹ Thuận, du khách di chuyển theo hướng QL53, sau đó chạy thẳng theo đường Phạm Hùng về bến phà An Bình. Tại đây, du khách tiếp tục di chuyển bằng thuyền đến cồn Phú Đa.",N/A
Khu du lịch Làng bè,"81b/6b ấp Mỹ An, Xã An Khánh, Huyện Châu Thành, Bến Tre","Đường đi tới Khu du lịch Làng Bè khá đơn giản. Bắt đầu di chuyển từ Sài Gòn, bạn chỉ cần qua cầu Rạch Miễu, quẹo trái khoảng 700m đến cầu Cá Chuối. Qua cây cầu này là bạn đã đến được với khu du lịch sinh thái nổi tiếng này rồi.",N/A
Khu du lịch Lan Vương,"tỉnh lộ 887 thuộc Ấp 2, Xã Phú Nhuận, Thành phố Bến Tre, Bến Tre","Chỉ cách trung tâm thành phố Bến Tre khoảng 5km, khu du lịch Lan Vương là một trong những địa điểm nghỉ dưỡng, vui chơi lý tưởng được nhiều người lựa chọn. Du khách khi tới đây vừa có thể hòa mình vào không gian thiên nhiên xanh mát lại vừa có cơ hội trải nghiệm những trò chơi vui nhộn như: cầu lắc, đu dây, chạy xe đạp qua cầu khỉ,...",N/A
Bãi biển Thừa Đức Bình Đại,"Thừa Đức Bình Đại, Xã Thừa Đức, Huyện Bình Đại, Bến Tre","Một trong những điều hấp dẫn chưa kể đến, đó là Bến Tre còn thu hút du khách bởi bãi biển Thừa Đức thuộc Bình Đại.  Nơi đây, vẫn còn vẻ đẹp hoang sơ với bãi cát trắng mịn bên hàng cây xanh ngát đung đưa, rì rào trước gió. Chắc chắn, đến nơi này, du khách sẽ có những trải nghiệm tuyệt vời và thú vị.",N/A
Búng Bình Thiên,"Xã Khánh Bình, Nhơn Hội và thị trấn Long Bình, Xã Khánh Bình, Huyện An Phú, An Giang","Búng Bình Thiên là một hồ nước trong xanh, cảnh đẹp thơ mộng ở An Giang rất thích hợp cho bạn đi cắm trại, dã ngoại và câu cá. Đến Búng Bình Thiên bạn sẽ được đi thuyền dạo quanh hồ nước, bên cạnh đó có các chòi câu cá, ăn uống nếu bạn muốn dừng chân lại. Đây là địa điểm du lịch hoang sơ ở An Giang rất thích hợp cho các cặp đôi đi hẹn hò đấy nhé!",N/A
Khu Sinh thái Nhà Xưa,"rạch Ông Me thuộc ấp Phước Ngươn A, Xã Phước Hậu, Huyện Long Hồ, Vĩnh Long",,N/A
Khu du lịch Vinh Sang,"Khu du lịch Vinh Sang, Xã An Bình, Huyện Long Hồ, Vĩnh Long",,N/A
Khu du lich sinh thái Hoàng Hảo,"QL 57, Xã Thanh Đức, Huyện Long Hồ, Vĩnh Long","Những ai muốn một lần trở về chốn thanh bình yên ả của vùng quê miệt vườn, hít thở không khí trong lành và ăn những món ăn dân gian đậm đà thì khu du lịch sinh thái Hoàng Hảo đúng là một lựa chọn lí tưởng.",N/A
Chùa cổ Long An,"Ấp Mỹ Trung, Xã Thiện Mỹ, Huyện Trà Ôn, Vĩnh Long",,N/A
Chợ nổi Trà Ôn,N/A,,N/A
Thác đá Granite,"nằm ẩn mình trong khu rừng già, Xã Đắk Som, Huyện Đăk Glong, Đắk Nông","Trong khi tỉnh Đắk Nông được bao phủ chủ yếu bởi đất, đá trầm tích (được hình thành trong môi trường đại dương) và đất, đá bazan (hình thành khi xuất hiện hoạt động của núi lửa) thì tại Vườn Quốc gia Tà Đùng lại sở hữu những khối đá xâm nhập granite, thể hiện một quá trình hoạt động địa chất rất đa dạng và phức tạp của Công viên địa chất toàn cầu UNESCO Đắk Nông.",N/A
Núi lửa Băng Mo,"Tổ 4, Thị trấn Ea T'Ling, Huyện Cư Jút, Đắk Nông","Nằm trên tuyến du lịch “Bản giao hưởng của làn gió mới”, Núi lửa Băng Mo là một điểm trải nghiệm địa chất, để khám phá những dấu ấn vượt không gian và thời gian của lịch sử kiến tạo địa chất Trái Đất lên cao nguyên M’nông này.",N/A
