TenDiaDanh,DiaChi,NoiDung,ImageURL,DichVu,ThongTinLienHe,DanhGia (Google Map),Lat,Lng
Thác Sông Moóc,"Xã Đồng Văn, Huyện Bình Liêu, Quảng Ninh","Thác Sông Moóc là một dòng thác ở bản Sông Moóc, xã Đồng Văn, huyện Bình Liêu, tỉnh Quảng Ninh, nổi tiếng với vẻ đẹp hoang sơ, yên bình và dòng nước trong vắt. Thác có độ cao khoảng 10m, được ví như một bức tranh thiên nhiên dịu dàng giữa núi rừng, mang vẻ đẹp mộc mạc, thu hút du khách yêu thích khám phá những địa điểm ít người biết đến.",https://media.baoquangninh.vn/dataimages/201407/original/images739882_thac_10.JPG,N/A,N/A,N/A,21.5542494,107.5708134
Thác Khe Tiền,"Xã Đồng Văn, Huyện Bình Liêu, Quảng Ninh","Thác Khe Tiền là một quần thể thác ở bản vùng cao Khe Tiền, xã Đồng Văn, huyện Bình Liêu, với hệ thống 3 thác là Khe Tiền 1, 2 và 3. Những dòng thác này được hình thành từ hệ mạch nước dưới chân núi, tạo nên các dòng nước nhỏ đổ thành thác. Thác nước Khe Tiền nằm ngay giữa một khu rừng nguyên sinh thuộc thôn Khe Tiền, bắt nguồn từ ngọn núi Quảng Nam Châu cao 1.500 m so với mức nước biển.",https://images.vietnamtourism.gov.vn/vn//images/2021/thang_12/0712.thac_khe_tien_2_1.jpg,N/A,SĐT: 0948 482 954,4.0 sao (13 đánh giá),21.3982013,107.3902705
Thác Khe Vằn,"Xã Húc Động, Huyện Bình Liêu, Quảng Ninh","Thác Khe Vằn bắt nguồn từ dãy Khe Vằn, nằm ở độ cao hơn 1.000m so với mực nước biển và được coi là thác nước lớn nhất của tỉnh Quảng Ninh. Tên gọi Khe Vằn được giải nghĩa với từ vằn chỉ khói và Khe Vằn có nghĩa là khe nước có khói. Với chiều cao ấn tượng gần 100m, nước chảy từ đỉnh cao cùng những bọt nước tung bay trắng mịn, thác Khe Vằn là điểm đến lý tưởng thu hút mọi du khách khi đến với Quảng Ninh.",https://statics.vinpearl.com/thac-khe-van-1_1703774125.jpg,"
Giờ mở cửa: 08:00–18:00",SĐT: 0969 734 896,4.3 sao (648 đánh giá),21.4858662,107.4783674
Bãi tắm Lương Ngọc,"Khu 1A, Phường Quang Hanh, Thành phố Cẩm Phả, Quảng Ninh","Bãi tắm Lương Ngọc Cẩm Phả mang đến không gian yên bình với bãi cát trắng mịn ôm trọn vịnh Bái Tử Long thơ mộng. Du khách có thể thả mình vào làn nước trong xanh, mát lạnh, tận hưởng gió biển dịu nhẹ hay đơn giản là dạo bước trên bờ cát, ngắm nhìn thiên nhiên tươi đẹp. Ngoài ra, cuối bãi tắm còn có một mỏm núi đá độc đáo với con đường bậc đá rợp bóng cây xanh dẫn lên đỉnh, nơi bạn có thể phóng tầm mắt chiêm ngưỡng toàn cảnh vịnh biển kỳ vĩ.",https://static.vinwonders.com/production/2025/03/tam-bien-o-bai-tam-luong-ngoc.jpg,"Giờ mở cửa: 05:00 - 19:00
Giá vé: 40.000 đồng",SĐT: 0203 3991 999,4.2 sao (427 đánh giá),20.9833107,107.2426792
Bãi tắm Quảng Hồng,"Khu Nam Sơn 2, Phường Cẩm Sơn, Thành phố Cẩm Phả, Quảng Ninh","Bãi tắm Quảng Hồng tọa lạc bên bờ vịnh Bái Tử Long, thuộc phường Cửa Ông, tỉnh Quảng Ninh. Đây là bãi tắm nhân tạo rộng 27,9 ha, do Công ty CP Xây dựng Quảng Hồng đầu tư và quản lý. Với bãi cát trải dài, nước biển xanh mát và không gian được bao bọc bởi dãy núi, bãi tắm Quảng Hồng Quảng Ninh mang vẻ đẹp yên ả, khác biệt so với các bãi tắm sôi động khác. Ngoài ra, nơi đây còn nổi bật với cảnh quan thiên nhiên tươi đẹp, dịch vụ tiện ích đa dạng, thân thiện với môi trường, đáp ứng nhu cầu vui chơi, nghỉ dưỡng của người dân và du khách.",https://static.vinwonders.com/production/2025/03/bai-bien-quang-hong.jpeg,N/A,N/A,N/A,20.9956603,107.3069969
Trung tâm Khoáng nóng Địa chất,"Ngõ 604 Trần Phú, Phường Cẩm Thạch, Thành phố Cẩm Phả, Quảng Ninh","Trung tâm khoáng nóng địa chất được xây dựng từ năm 2000 trên một diện tích đất rộng, cảnh quan khá đẹp, có hồ nước và núi đá, đặc biệt là có mỏ nước khoáng nóng rất có ích cho hoạt động điều dưỡng, chăm sóc sức khỏe. Trước đây, Trung tâm khoáng nóng địa chất chủ yếu là phục vụ cho công nhân ngành Than và người dân địa phương.",https://media-cdn-v2.laodong.vn/storage/newsportal/2025/4/25/1496968/Trung-Tam-Nuoc-Khoan-01.jpg?w=660,Giờ mở cửa: 07:30 - 22:00,SĐT: 1900 633691,4.2 sao (251 đánh giá),21.0154375,107.2590625
Khu di tích lịch sử - Văn hóa Đền Cửa Ông,"Phường Cửa Ông, Thành phố Cẩm Phả, Quảng Ninh","Đền Cửa Ông là 1 trong 3 ngôi đền nổi tiếng nhất của tỉnh Quảng Ninh. Đây là nơi “gặp gỡ” của núi non, rừng già và biển cả, được thiên nhiên ưu ái ban tặng một vị trí đắc địa. Qua sử sách ghi chép lại, Đền Cửa Ông - Quảng Ninh được khởi dựng và tồn tại đã qua hơn 700 năm với nhiều cuộc đại trùng tu. Lúc khởi dựng, ngôi đền chỉ là một thảo am nhỏ, được làm từ tranh, tre, nứa... Vào khoảng năm 1907 - 1916, đền được trùng tu tại. Đến năm 1916, khu di tích xây dựng thêm đền Thượng, đền Trung, đền Hạ và chùa. ",https://static.vinwonders.com/production/den-cua-ong-1.jpg,N/A,N/A,4.6 sao (2191 đánh giá),21.0274468,107.3707765
Khu di tích lịch sử và Danh thắng Vũng Đục,"Khu Diêm Thủy, Phường Cẩm Đông, Thành phố Cẩm Phả, Quảng Ninh","Người dân nơi đây kể lại rằng, sở dĩ khu di tích, danh lam thắng cảnh này có tên gọi là Vũng Đục là bởi trước kia, đây là một khu vực có nhiều vũng sâu, nước xoáy, là nơi quần tụ của hàng ngàn loài sinh vật biển và một điều đặc biệt là ở đây có rất nhiều cá đục. Có lẽ vì thế người dân vạn chài xưa đã đặt tên cho khu vực này là Vũng Đục.",https://media.baoquangninh.vn/dataimages/201507/original/images815324_Tr4_Den_liet_si.jpg,N/A,N/A,N/A,20.9929752,107.2287044
Quảng Ninh Gate,"Xã Bình Dương, Thị xã Đông Triều, Quảng Ninh","Quảng Ninh Gate là khu du lịch vui chơi giải trí có diện tích gần 12 hecta, tọa lạc tại xã Bình Dương, thị xã Đông Triều, tỉnh Quảng Ninh. Nơi đây cách trung tâm thủ đô Hà Nội khoảng 80km, ngoài các trò chơi giải trí và hoạt động nghỉ dưỡng thông thường, du khách sẽ được tham quan cảnh sắc và các hoạt động trải nghiệm thú vị của làng quê miền Bắc. Khu du lịch Quảng Ninh Gate sẽ giúp du khách hòa mình vào cuộc sống sinh hoạt của người dân miền Bắc từ thời xa xưa, đồng thời tìm hiểu về văn hóa và lịch sử của đất nước nói chung và Bắc Bộ nói riêng.",https://mia.vn/media/uploads/blog-du-lich/quang-ninh-gate-12-1697952804.jpg,"Giờ mở cửa: Mở cả ngày
Giá phòng (Resort): dao động 800.000 - 1.300.000 đồng",SĐT: 0888 856 629,"4,1 sao (2111 đánh giá)",21.1161554,106.4674987
Công viên Hà Lan,"Khu Vĩnh Xuân phường Mạo Khê, Phường Mạo Khê, Thị xã Đông Triều, Quảng Ninh","Đây là một điểm đến mới nổi, mang đến hơi thở kiến trúc châu Âu giữa lòng vùng mỏ. Với những chiếc cối xay gió đặc trưng của Hà Lan, thảm cỏ xanh mướt và không gian thoáng đãng, công viên Hà Lan là địa điểm lý tưởng để thư giãn, dạo chơi và chụp ảnh check-in.",https://hvcgroup.net/data/media/2307/files/CVHL2.jpg,Giờ mở cửa: 09:00 - 22:30,SĐT: 0203 3585 299,4.2 sao (827 đánh giá),21.0667709,105.7805964
Hồ Khe Chè,"Thôn Ba Xã, Xã An Sinh, Thị xã Đông Triều, Quảng Ninh","Hồ có tổng diện tích là 276ha, nằm cách đền An Sinh khoảng 3km và cách trung tâm thị xã Đông Triều 7km. Con đường cạnh hồ đã được đổ bê tông bằng phẳng, thuận tiện cho khách du lịch di chuyển bằng nhiều phương tiện khác nhau. Mặt hồ luôn phẳng lặng và trong xanh, tựa như một tấm gương khổng lồ phản chiếu lại cảnh vật. Bao quanh hồ còn có những cánh rừng xanh mướt và nhiều dãy núi trùng điệp, tạo nên một bức tranh sơn thủy cực đẹp mắt. Nơi đây còn đặc trưng với khí hậu ôn hòa, mát mẻ, là điểm đến lý tưởng để du khách thư giãn và khám phá thiên nhiên. ",https://statics.vinpearl.com/ho-khe-che-01_1704968191.jpg,N/A,N/A,N/A,21.1442649,106.5328332
Làng quê Yên Đức,"Thôn Yên Khánh, Xã Yên Đức, Thị xã Đông Triều, Quảng Ninh","Những ngôi nhà mang đậm dấu ấn thời gian, với mái ngói rêu phong, tường gạch thô mộc tạo nên nét đẹp cổ kính, bình dị của làng quê Việt Nam.Người dân nơi đây nổi tiếng với sự hiền hòa, mến khách, luôn sẵn sàng chào đón du khách đến tham quan và trải nghiệm văn hóa địa phương.",https://media.baoquangninh.vn/upload/image/202407/medium/2230246_images1396051_artboard_8anh_2_09441902.jpg,N/A,N/A,N/A,21.05217,106.6282341
Cụm di tích lịch sử cách mạng khu mỏ than Mạo Khê,"Khu Vĩnh Lập, Phường Mạo Khê, Thị xã Đông Triều, Quảng Ninh",Cụm di tích lịch sử khu mỏ than Mạo Khê ghi dấu những hoạt động cách mạng của nhà chí sĩ yêu nước Nguyễn Văn Cừ và cũng là địa điểm thành lập Chi bộ Đảng đầu tiên ở khu mỏ Quảng Ninh.,https://media.baoquangninh.vn/dataimages/201512/original/images842592_a.jpg,N/A,N/A,N/A,21.0589,106.5853
Trung tâm chiến khu Đông Triều - chùa Bắc Mã,"Thôn Bắc Mã, Xã Bình Dương, Thị xã Đông Triều, Quảng Ninh","Di tích lịch sử cách mạng, văn hoá chiến khu Đông Triều là căn cứ lãnh đạo cách mạng trong cuộc kháng chiến chống thực dân pháp. Trung tâm căn cứ này được đặt ở chùa Bắc Mã còn có tên chữ là Phúc Chí Tự nghĩa là chùa hướng tới cái phúc.",https://media.baoquangninh.vn/dataimages/201504/original/images791685_a.jpg,N/A,N/A,N/A,21.1110039543568,106.483073578948
Chùa Hồ Thiên,"Thôn Phú Ninh, Xã Bình Khê, Thị xã Đông Triều, Quảng Ninh","Chùa Hồ Thiên - Đông Triều (hay Trù Phong tự) do Pháp Loa xây dựng năm 1322 trên núi Trù Phong, được sử dụng làm nơi các vị cao tăng của Thiền phái Trúc lâm tu học sau khi đã hoàn thành xuất sắc khóa học tại Tự - viện Quỳnh Lâm.",https://media-cdn-v2.laodong.vn/storage/newsportal/2024/12/6/1431243/Chua-Ho-Thien-2.jpg,N/A,N/A,4.7 sao (85 đánh giá),10.7481967,106.6639181
Chùa Quỳnh Lâm,"Phường Tràng An, Thị xã Đông Triều, Quảng Ninh","Chùa nằm ở trung tâm ba Khu Thượng, Hạ, Sinh. Phía trước cửa chùa là hồ nước lớn, ba phía còn lại là đồi núi bao bọc. Với thế đất này được gọi là thế ngai vàng, hay thế ""Long chầu hổ phục"". Theo các nhà nghiên cứu, qua các tài liệu thư tịch, trong đó có cả bia chùa thì chùa Quỳnh Lâm được xây dựng dưới triều vua Lý Thần Tông (1116-1138). Người có công lớn trong việc tạo dựng ngôi chùa là quốc sư Nguyễn Minh Không (1076-1141). Trong các thế kỷ 11-14, thời kỳ cuối Lê và thế kỷ 17-18, Quỳnh Lâm là trung tâm Phật giáo lớn nhất của Việt Nam.",https://media.baoquangninh.vn/upload/image/202105/medium/1844357__08145429.jpg,N/A,SĐT: 0979 724 666,4.5 sao (287 đánh giá),20.9660384,105.9822535
Đền Thái,"Thôn Trại Lốc, Xã An Sinh, Thị xã Đông Triều, Quảng Ninh","Nằm ở cửa ngõ phía Tây của tỉnh Quảng Ninh, vùng đất Đông Triều là quê gốc của nhà Trần, trước khi chuyển về Tức Mặc (tỉnh Nam Định), Long Hưng (tỉnh Thái Bình) và phát tích đế vương ở đó vào khoảng thế kỷ 12. Từ đời Trần Thái Tông, vua đã cấp An Sinh (Đông Triều) cho anh mình là Trần Liễu làm đất thang mộc để trông coi phần mộ, thờ cúng tổ tiên và phong cho Trần Liễu là An Sinh Vương. Trong hệ thống đền, miếu, lăng mộ, chùa tháp ở đây thì Thái Miếu (còn gọi là Đền Thái), nơi thờ tổ tiên và 14 vị vua Trần là một trong 14 di tích quan trọng bậc nhất trong quần thể Khu di tích.",https://dantocmiennui-media.baotintuc.vn/images/abc4538b3a08bb57a1123e100b4becb2bb72d09ee861fd737fc91f09341b6f9105ba9228a81c087f4ad214f6766b036c7700b42128f0b5d20f20be1597892be0/quangninh5-4003.jpg,Giờ mở cửa: 07:00 - 16:30,N/A,4.5 sao (66 đánh giá),20.4457972,106.3390451
Đền An Sinh,"Thôn Nghĩa Hưng, Xã An Sinh, Thị xã Đông Triều, Quảng Ninh","Đền An Sinh được xây dựng vào thời Trần năm 1381, là nơi thờ ngũ vị Hoàng đế của nhà Trần đã có công làm rạng danh non sông đất nước. Ngũ vị Hoàng đế của nhà Trần bao gồm: Minh Tông Hoàng đế, Anh Tông Hoàng đế, Khâm Minh Thánh Vũ Hiển Đạo An Sinh Hoàng đế, Dụ Tông Hoàng đế và Nghệ Tông Hoàng đế.",https://static.vinwonders.com/production/den-an-sinh-banner.jpg,N/A,N/A,4.4 sao (270 đánh giá),21.118045,106.5374308
Chợ Rừng,"Phường Quảng Yên, Thị xã Quảng Yên, Quảng Ninh",,https://static.vinwonders.com/production/2025/03/cho-rung-banner.jpg,,,,20.9390376,106.7990441
Làng nghề truyền thống Hưng Học,"phường Nam Hòa, Thị xã Quảng Yên, Quảng Ninh","Làng nghề đan ngư cụ truyền thống Hưng Học không chỉ nổi tiếng với nghề đan thuyền nan, mà còn được mọi người biết đến với các sản phẩm ngư cụ phục vụ nhu cầu khai thác, đánh bắt thuỷ hải sản của người dân được làm từ tre, nứa như lờ, nơm, đó, lợp…",https://image.vovworld.vn/w730/uploaded/vovworld/znaeng/2020_08_07/ccl1_xreq.jpg,N/A,N/A,N/A,20.91386,106.79618
Thác Mơ,"Khu Lâm Sinh 2, Phường Minh Thành, Thị xã Quảng Yên, Quảng Ninh","Thác Mơ nằm ở địa phận xã Quảng Yên, tỉnh Quảng Ninh, bắt nguồn từ con suối Mơ dài hơn 2.000m. Nơi đây sở hữu khung cảnh thiên nhiên hùng vĩ, hoang sơ với những khu rừng bạt ngàn xanh mướt và thác nước chảy xiết suốt đêm ngày.",https://static.vinwonders.com/production/niClV0Gy-thac-mo-1.jpg,Giá vé vào cửa: 10.000 VNĐ/người,N/A,N/A,14.0217837,107.6050329
Chùa Yên Mỹ,"Xã Lê Lợi, Thành phố Hạ Long, Quảng Ninh","Chùa Yên Mỹ có tên chữ là Phúc Khánh tự, là di tích kiến trúc nghệ thuật tôn giáo cổ kính, tọa lạc trên một gò đất cao, nhìn ra phía trước là hai ngọn núi chầu vào con sông Đồi Mom, đổ ra vịnh Cửa Lục.",https://tapchivanhoaphatgiao.com/wp-content/uploads/2024/02/LSVDTKTNTTGCYM-1.jpg,N/A,N/A,4.3 sao (16 đánh giá),20.9477327,105.8707411
Đền thờ Tiến sỹ Vũ Phi Hổ,"Xã Lê Lợi, Thành phố Hạ Long, Quảng Ninh","Theo truyền thuyết dân gian và chính sử ghi lại, Đền thờ Phó đô ngự sử Anh nghị Đại vương-Tiến sỹ Vũ Phi Hổ tại xã Lê Lợi, huyện Hoành Bồ được khởi dựng từ thời Lê.",https://cdn.tuoitrethudo.vn/stores/news_dataimages/tuoitrethudocomvn/042017/16/19/den-tho-vi-tien-si-dau-tien-o-quang-ninh-duoc-xep-hang-di-tich-lich-su-18-.4689.png,N/A,N/A,N/A,21.0213486,107.0281062
Đền thờ Vua Lê Thái Tổ,"Xã Lê Lợi, Thành phố Hạ Long, Quảng Ninh","Theo hồ sơ di tích, đền thờ vua Lê Lợi được xây dựng vào cuối thế kỷ XV, toạ lạc trên một gò đất bằng phẳng, xung quanh là sông nước. Xưa kia đền có kiến trúc kiểu chữ ""nhị"" (=) gồm 3 gian bái đường và 3 gian hậu cung, mái lợp ngói vẩy, có sân đền và cổng, xung quanh có tường bao, tạo thành một không gian biệt lập.",https://media.baoquangninh.vn/dataimages/201410/original/images757084_IMG_2236.jpg,N/A,N/A,N/A,21.0169087,107.0421324
Miếu Tiên Công,"Thôn Cẩm Thành, Xã Cẩm La, Thị xã Quảng Yên, Quảng Ninh","Miếu Tiên Công thờ 17 vị tiên Công “Thập thất Tiên Công”, quê ở Phường Kim Hoa, phủ Hoài Đức, thành Thăng Long. Đây là những người có công đầu trong sự nghiệp quai đê lấn biển, lấn sông thành lập nên khu đảo Hà Nam, trong đó có xã Cẩm La.",https://halongmedia.vn/wp-content/uploads/2024/12/mieu-tien-cong-1.jpg,N/A,N/A,4.7 sao (166 đánh giá),20.9048714,106.8104256
Chùa Yên Giang,"Khu 2, phường Yên Giang, Phường Yên Giang, Thị xã Quảng Yên, Quảng Ninh","Ðình Yên Giang được xây dựng từ thế kỷ 16 và đã qua nhiều lần trùng tu vào năm 1952, 1993. Ðình có kiến trúc theo kiểu chữ “đinh” gồm 5 gian tiền đường, 3 gian chái đường, và 1 gian hậu cung. Chùa ở Yên Giang là Đống Phúc, tên chữ là Đống Phúc tự nằm ở phường Yên Giang, gần trung tâm thị xã. Chùa được xây dựng vào thời Trần. Bia Đài Thiên Trụ của chùa ghi năm Chính Hòa (1680) trùng tu lớn.",https://media.baoquangninh.vn/dataimages/201606/original/images868137_a1__Copy_.jpg,N/A,N/A,N/A,98.860728,105.0814952
"Đình, chùa Yên Đông","Khu 3, Phường Yên Hải, Thị xã Quảng Yên, Quảng Ninh","Ngôi đình Yên Đông cổ cất dựng năm 1814, là một trong hai ngôi đình cổ lớn nhất, đẹp nhất vùng Yên Hưng, cả về kiến trúc và nghệ thuật điêu khắc, đã được Viện Viễn Đông Bác cổ - một cơ quan nghiên cứu lịch sử và văn hoá do người Pháp sáng lập ở Hà Nội đầu thế kỷ 20, liệt vào hạng đặc biệt quan tâm.",https://media.baoquangninh.vn/dataimages/201708/original/images971037_tr6.jpg,N/A,N/A,N/A,20.9946243,106.1064138
